period,bsurf
0.675646047,6.94E+11
1.222948521,7.00E+11
0.835797468,7.00E+11
0.394133347,7.00E+11
1.931626743,7.03E+11
0.33341071,7.04E+11
1.214090492,7.05E+11
0.27337243,7.09E+11
0.441209732,7.09E+11
0.569242225,7.10E+11
0.179484754,7.10E+11
0.782886977,7.12E+11
0.237790138,7.13E+11
0.814215242,7.13E+11
1.004592529,7.14E+11
0.573745359,7.17E+11
0.733744439,7.18E+11
0.419334966,7.22E+11
1.8894355,7.23E+11
1.856569717,7.24E+11
0.459605364,7.26E+11
1.087749188,7.26E+11
0.865606225,7.26E+11
0.39596917,7.27E+11
1.516530965,7.27E+11
0.345581898,7.27E+11
0.874264572,7.29E+11
0.239317178,7.31E+11
2.497011696,7.33E+11
0.143158259,7.33E+11
0.707867606,7.33E+11
0.256843798,7.33E+11
0.538340543,7.36E+11
0.061696123,7.37E+11
0.694053479,7.39E+11
0.537143086,7.40E+11
0.255496327,7.41E+11
1.241964599,7.41E+11
0.121116349,7.42E+11
0.342776797,7.43E+11
0.74163952,7.44E+11
0.306410837,7.48E+11
1.385603623,7.51E+11
0.280905302,7.52E+11
1.657656458,7.54E+11
1.058833044,7.55E+11
0.507945195,7.55E+11
0.750808122,7.55E+11
0.630512647,7.56E+11
0.067266846,7.57E+11
1.045632445,7.57E+11
0.625033913,7.59E+11
0.101435746,7.61E+11
1.015257392,7.63E+11
0.267275008,7.65E+11
0.943871298,7.68E+11
0.615520458,7.68E+11
0.66830921,7.68E+11
0.301310775,7.72E+11
1.281719024,7.73E+11
0.214836351,7.75E+11
1.242508309,7.75E+11
0.346522567,7.76E+11
0.354236508,7.76E+11
1.29969345,7.79E+11
0.101439066,7.80E+11
0.291489461,7.80E+11
0.45724503,7.81E+11
0.362051963,7.82E+11
0.915803497,7.83E+11
0.770374846,7.85E+11
0.621733994,7.85E+11
0.374919985,7.88E+11
1.066371072,7.88E+11
0.768498945,7.91E+11
0.348124046,7.92E+11
0.349928508,7.92E+11
0.134409004,7.93E+11
1.221019982,7.94E+11
0.70906407,7.99E+11
0.578363439,7.99E+11
0.357806775,8.02E+11
0.370483417,8.02E+11
0.421118114,8.05E+11
0.145346823,8.08E+11
0.232976433,8.10E+11
0.61252374,8.12E+11
0.75496337,8.13E+11
1.464664549,8.15E+11
0.680983832,8.15E+11
0.430366558,8.15E+11
0.343402158,8.16E+11
0.292407702,8.17E+11
0.51452307,8.17E+11
1.616231495,8.19E+11
0.25783194,8.21E+11
1.045406856,8.22E+11
0.9039132,8.25E+11
0.201062574,8.25E+11
1.235757453,8.27E+11
0.298313497,8.28E+11
0.952708903,8.30E+11
0.848932751,8.34E+11
1.578792889,8.34E+11
0.288219159,8.34E+11
1.241421391,8.35E+11
0.27025444,8.35E+11
0.947255811,8.36E+11
0.7789494,8.36E+11
0.156384122,8.39E+11
1.056844219,8.39E+11
0.387689698,8.41E+11
0.939165479,8.41E+11
0.798692542,8.41E+11
0.444645107,8.42E+11
0.559084099,8.42E+11
1.240699039,8.47E+11
0.375463379,8.48E+11
1.245855596,8.49E+11
1.480743824,8.51E+11
0.518937987,8.54E+11
0.387664087,8.54E+11
1.602227974,8.56E+11
0.339038449,8.58E+11
0.89126454,8.60E+11
0.529121257,8.61E+11
1.014684793,8.62E+11
0.533501886,8.63E+11
0.472995436,8.65E+11
1.004958318,8.66E+11
0.522618386,8.68E+11
0.821035081,8.68E+11
0.757118871,8.69E+11
2.046837629,8.69E+11
